@relation CreditApproval-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.NumericCleaner-min-1.7976931348623157E308-min-default-1.7976931348623157E308-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l}
@attribute A5 {g,p,gg}
@attribute A6 {w,q,m,r,cc,k,c,d,x,i,e,aa,ff,j}
@attribute A7 {v,h,bb,ff,j,z,o,dd,n}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {f,t}
@attribute A13 {g,s,p}
@attribute A14 numeric
@attribute A15 numeric
@attribute Class {+,-}

@data
a,0.773233,0.5,u,g,ff,ff,0,t,t,0.164179,t,g,0,0.014,+
a,0.098947,0.357143,u,g,c,h,0.035088,t,t,0.059701,f,g,0.025,0.01465,+
b,0.278195,0.005893,y,p,c,h,0.114035,t,t,0.014925,t,g,0.216,0.08,+
b,0.246917,0.017857,u,g,c,v,0.061404,t,t,0.164179,f,g,0.016,0.0054,+
b,0.171729,0.214286,u,g,c,v,0.035088,t,t,0.044776,f,g,0,0,+
b,0.382256,0.058036,u,g,c,v,0.052632,t,t,0.149254,f,g,0.093,0.047,+
b,0.380902,0.214286,u,g,m,v,0.045263,t,t,0.074627,t,g,0.054,0.01097,+
b,0.269474,0.029643,u,g,x,v,0.046842,t,t,0.119403,t,g,0.1515,0.0329,+
b,0.409774,0.001429,u,g,e,v,0.001404,f,t,0.014925,f,s,0.28,0,+
b,0.522556,0.151786,u,g,m,v,0.004386,t,f,0,t,g,0.1125,0,+
b,0.284511,0.321429,y,p,w,h,0.184211,t,f,0,t,g,0.077,0,+
a,0.215489,0.535714,y,p,e,z,0,t,f,0,f,g,0,0.13212,+
b,0.897293,0.633929,u,g,ff,ff,0,t,f,0,t,g,0,0,+
b,0.756842,0.714286,u,g,x,h,0.614035,t,t,0.134328,t,g,0,0.01,+
b,0.568872,0.535714,u,g,c,v,0.298246,t,t,0.134328,f,g,0,0,+
b,0.194286,0.0625,y,p,c,v,0.035088,t,t,0.074627,t,g,0.08,0.05777,+
b,0.174135,0.020714,u,g,c,v,0.010175,t,t,0.104478,t,g,0.048,0.05124,+
b,0.246917,0.232143,u,g,cc,v,0.109649,t,t,0.119403,f,g,0.165,0.012,+
b,0.199248,0.026786,u,g,c,h,0.149123,t,t,0.044776,t,g,0.156,0.0015,+
b,0.141654,0,u,g,c,v,0,f,f,0,f,p,0.092007,0,+
b,0.307068,0.1875,u,g,w,v,0.002982,f,f,0,t,g,0.145,0.00006,+
b,0.374737,0.0075,u,g,k,v,0.002982,t,f,0,t,g,0.14,0,+
b,0.180451,0.026786,u,g,c,bb,0.008772,t,f,0,f,g,0.1745,0.00023,+
a,0.486165,0.107143,u,g,c,v,0.083333,t,t,0.119403,t,g,0.198,0.04159,+
a,0.116541,0.214286,u,g,aa,v,0.087719,t,t,0.044776,f,g,0.04,0.00918,+
b,0.095188,0.004464,u,g,q,v,0.035088,f,t,0.014925,f,g,0.12,0.00768,+
b,0.101504,0.08625,u,g,c,v,0.070175,t,t,0.164179,t,g,0.1,0.03,+
a,0.236842,0.016429,u,g,k,v,0.018947,t,t,0.059701,f,g,0.19,0.005,+
b,0.428571,0.0625,y,p,c,v,0,f,f,0,t,g,0.075,0.00001,-
b,0.241805,0.044643,y,p,k,v,0.008772,f,f,0,f,g,0.112,0,-
b,0.095188,0.008929,u,g,q,v,0.004386,f,f,0,f,g,0.1,0,-
b,0.145414,0.020893,u,g,c,h,0.002982,t,f,0,f,g,0.09,0,-
a,0.238045,0.0625,y,p,k,v,0.04386,f,f,0,t,g,0.14,0,-
b,0.036391,0.001429,u,g,c,v,0.001404,f,f,0,f,g,0,0,+
b,0.279398,0.125,u,g,k,v,0.017544,f,f,0,t,g,0.116,0,-
b,0.267942,0.001429,y,p,d,v,0.149123,f,f,0,t,g,0.23,0,-
b,0.512481,0.14875,u,g,x,bb,0.002982,f,f,0,t,g,0.26,0,-
b,0.093985,0.044643,y,p,k,v,0.004386,f,f,0,f,g,0.07,0.00004,-
b,0.20797,0.116071,y,p,q,h,0.178421,f,t,0.029851,t,g,0.1845,0.00001,-
b,0.12406,0.028214,u,g,w,v,0.010175,f,t,0.014925,f,g,0.21,0.00283,-
b,0.08391,0.389821,u,g,c,bb,0.020526,f,t,0.029851,t,g,0.1,0.00007,-
a,0.369624,0.157679,u,g,c,v,0.004386,f,f,0,f,g,0.08,0,-
b,0.235639,0.044643,u,g,c,h,0.008772,f,t,0.029851,t,g,0.2,0.00108,-
b,0.134135,0.026786,u,g,i,v,0.055614,f,t,0.014925,t,g,0.2,0.00009,-
b,0.278195,0.5,y,p,ff,ff,0,f,t,0.029851,f,g,0.08,0.00001,-
b,0.238045,0.169643,u,g,m,v,0.070175,f,t,0.014925,t,g,0.23,0.00068,-
b,0.070226,0.371964,y,p,aa,v,0.004386,t,f,0,f,g,0.06,0.00375,-
b,0.126617,0.080357,u,g,i,v,0.004386,f,f,0,f,g,0.08,0.0001,-
b,0.134135,0.005893,u,g,c,j,0.078947,f,f,0,t,s,0,0,+
a,0.177895,0,u,g,c,v,0,f,f,0,f,p,0.092007,0,+
b,0.076391,0,u,g,q,v,0.023333,f,f,0,f,g,0.08,0.00001,-
b,0.117744,0.028214,y,p,cc,v,0.023333,f,f,0,f,g,0.08,0,-
b,0.150376,0.428571,u,g,c,v,0.073158,f,f,0,f,s,0.04,0,-
b,0.12406,0.279821,y,p,i,bb,0.005789,f,f,0,t,g,0.092007,0,-
b,0.335789,0.090714,u,g,ff,ff,0,f,f,0,f,g,0,0.01,-
b,0.233083,0.464286,u,g,d,h,0.017544,f,f,0,f,g,0.114,0,-
a,0.087669,0.02375,u,g,w,v,0.058421,f,f,0,f,g,0.11,0.00005,-
a,0.137895,0.044643,u,g,q,v,0.008772,f,f,0,t,g,0.06,0.00809,-
a,0.203008,0.010357,u,g,m,h,0.004386,f,t,0.014925,t,g,0.136,0.00108,-
a,0.37594,0.053571,u,g,ff,ff,0,f,f,0,f,g,0.038,0,-
b,0.280752,0.077321,y,p,k,ff,0,f,f,0,f,g,0.06,0,-
a,0.150376,0.025357,u,g,w,v,0.008772,f,t,0.014925,t,g,0.12,0.00004,-
b,0.066466,0.087857,u,g,c,n,0.033684,f,t,0.029851,t,g,0.08,0.00587,-
b,0.408571,0.017857,y,p,m,v,0.017544,f,f,0,t,g,0.065,0,-
b,0.086466,0.342321,u,g,aa,v,0.027719,f,f,0,f,g,0.04,0.0035,-
b,0.223008,0.129464,u,g,aa,v,0.008772,f,f,0,t,g,0.05,0,-
b,0.328271,0.026786,u,g,k,v,0.052632,f,f,0,t,g,0.1155,0,-
b,0.307068,0.098214,u,g,i,bb,0.087719,f,f,0,t,g,0.116,0.002,-
b,0.29203,0.080357,y,p,cc,v,0.122807,f,f,0,t,g,0.1,0.00141,-
b,0.26812,0.026786,y,p,aa,v,0.122807,f,f,0,t,g,0.16,0,-
a,0.582707,0.25,u,g,aa,h,0.105263,f,f,0,f,g,0,0,-
b,0.337143,0.015,y,p,w,v,0.010175,f,f,0,t,g,0.1545,0.00002,-
b,0.354586,0.095179,u,g,cc,v,0.005789,f,f,0,t,g,0,0.00501,-
a,0.106466,0.303571,u,g,c,v,0.005789,f,f,0,f,g,0,0.00351,-
b,0.155338,0.321429,u,g,aa,v,0.008772,f,f,0,t,g,0,0,-
b,0.177895,0.011964,u,g,k,h,0.122807,f,f,0,t,g,0.17,0,-
a,0.322105,0.133929,u,g,ff,ff,0,f,t,0.089552,f,g,0,0.002,-
b,0.516241,0.133929,u,g,i,bb,0.035088,f,f,0,f,g,0.05,0.00002,-
a,0.031278,0.272321,u,g,q,v,0.004386,f,t,0.014925,t,g,0,0.0016,-
a,0.131579,0.014821,u,g,i,v,0.011754,f,f,0,t,s,0.072,0,-
b,0.116541,0.410714,u,g,i,v,0.017544,t,f,0,t,g,0.05,0.00068,-
a,0.14782,0.029643,u,g,q,v,0.014561,f,t,0.014925,t,g,0.1,0.00011,-
a,0.110226,0.178571,y,p,ff,ff,0,f,f,0,f,g,0,0,-
b,0.179248,0.116071,u,g,c,h,0.080351,f,t,0.014925,t,g,0.208,0.00021,-
a,0.378496,0.059464,u,g,aa,v,0.008772,f,f,0,f,g,0,0.0039,-
a,0.030075,0.013393,u,g,c,v,0.035088,f,f,0,f,g,0.06,0.00018,-
a,0.223008,0.133929,u,g,c,v,0.008772,f,t,0.014925,t,g,0.02,0.00154,-
b,0.12782,0.321429,u,g,aa,v,0.002982,f,f,0,f,g,0,0,-
b,0.241805,0.125,u,g,c,v,0.005789,f,f,0,f,g,0.108,0,-
a,0.146617,0.053571,u,g,w,v,0.030702,f,f,0,t,g,0.08,0,-
b,0.275639,0.142857,y,p,cc,v,0.052632,f,f,0,t,g,0.06,0,-
b,0.260602,0.053571,y,p,w,v,0.001404,f,f,0,f,s,0.08,0,-
b,0.27188,0.001429,y,p,m,v,0.001404,f,f,0,f,g,0,0,-
a,0.120301,0.419643,u,g,c,v,0.008772,f,f,0,t,g,0.09,0,-
a,0.062707,0.019286,u,g,c,v,0.061404,f,t,0.014925,t,g,0.04,0.00005,-
b,0.249323,0.017857,u,g,d,h,0.002982,f,f,0,t,s,0.126,0,-
b,0.572632,0.072857,y,p,ff,ff,0.052632,f,f,0,f,g,0.06,0.00001,-
b,0.502556,0.208393,u,g,w,v,0.192982,f,f,0,f,g,0.2325,0.0015,-
b,0.181654,0.458393,u,g,cc,v,0.017544,f,f,0,f,g,0,0.00002,-
a,0.548872,0.029821,u,g,aa,v,0.017544,f,f,0,t,g,0.12,0.00117,-
b,0.236842,0.071429,y,p,e,h,0.070175,f,f,0,f,g,0.128,0.00017,-
a,0.354586,0.089286,u,g,i,h,0.007368,f,f,0,f,g,0.13,0.00246,-
a,0.418496,0.037143,u,g,aa,v,0.023333,f,f,0,f,g,0.12,0.00237,-
a,0.253083,0.380893,u,g,q,h,0.002982,f,t,0.179104,t,g,0.0645,0.00003,-
b,0.085263,0.258929,u,g,m,v,0.001404,f,t,0.014925,f,g,0.05,0.00001,-
a,0.062707,0.364643,u,g,ff,ff,0,f,f,0,f,g,0,0.0005,-
a,0.095188,0.044643,u,g,c,v,0,f,f,0,f,g,0,0,-
b,0.086466,0.010357,u,g,k,v,0.010175,f,f,0,f,g,0.14,0.00364,-
b,0.211729,0.035714,y,p,d,h,0.105263,f,f,0,f,g,0.088,0.00537,-
b,0.050075,0.1175,u,g,i,v,0.011754,f,f,0,t,g,0.07,0.00002,-
b,0.340902,0.026786,y,p,d,v,0.020526,f,f,0,f,g,0.12,0.00003,-
b,0.403459,0.1175,u,g,m,v,0.122807,f,f,0,t,s,0.2,0,-
b,0.110226,0.360179,y,p,e,h,0.04386,f,f,0,f,g,0.13,0,-
a,0.134135,0.026786,u,g,c,v,0.070175,f,t,0.029851,t,g,0.1,0.00394,-
a,0.172932,0.482143,y,p,ff,ff,0.070175,f,t,0.014925,t,g,0.1,0.00001,-
b,0.062707,0.007321,u,g,aa,v,0.001404,f,f,0,f,g,0.14,0.0075,-
b,0.319549,0.120536,u,g,c,h,0.290877,f,f,0,t,g,0,0,-
